Cycle_Number (n),Net_Voltage (VÂ·s)
1,-0.1872564592697401
2,0.014123679796259836
3,0.22283402928400164
4,0.41671812515559736
5,0.6020138110920641
6,-0.04790723573869471
7,-0.6576048444753653
8,-0.47036072924999317
9,-0.22530462547051755
10,-0.013661505587993616
11,0.1429254889629199
12,0.38259109460997465
13,0.5522301037314818
14,-0.20405654452970268
15,-0.7558830279685722
16,-0.5300880450159084
17,-0.3565948787340787
18,-0.12281807991372062
19,0.07467339510565552
20,0.3104661428560149
21,0.42657067078163635
22,0.657076052225591
23,0.0912994661926092
24,-0.6837799514717275
25,-0.3455480011052785
26,-0.2116072443236412
27,-0.0028238344439515117
28,0.13450405708540814
29,0.4093150016378111
30,0.6039049069663633
31,-0.05196678945977595
32,-0.7714634770851632
33,-0.5457233707805855
34,-0.17080985355904232
35,-0.13977657236819852
36,0.0865940914554102
37,0.3722921642927517
38,0.577202147344483
39,-0.20005987307325768
40,-0.7774784811093909
41,-0.546448911562198
42,-0.29322976624236574
43,-0.17188838067090018
44,0.10417951820070215
45,0.3107968063401785
46,0.5094517861528658
47,0.743448125440743
48,0.1461533962038324
49,-0.5550272103523888
50,-0.36003855977520516
51,-0.2512341764760677
52,-0.10161583634559435
53,0.17743391975810852
54,0.2786830456176759
55,0.6491799123216069
56,0.04147572774371966
57,-0.7521758318736147
58,-0.40669981456476023
59,-0.1370078269673627
